id;program_study;text;target_role;is_relevant
130;Management;Led employee mentorship programs to improve retention rates.;Human Capital;ya
131;Informatics;Proficient in DevOps pipelines using Jenkins and GitLab CI/CD.;Software Engineering;ya
132;Finance;Skilled in financial literacy education and community workshops.;Accounting;tidak
133;Management;Skilled in conflict resolution for cross-cultural teams.;Human Capital;ya
134;Informatics;Knowledge in AR/VR development with Unity and ARKit.;Software Engineering;ya
135;Finance;Background in public finance and government accounting.;Accounting;ya
136;Management;Passionate about travel blogging and cultural storytelling.;Human Capital;tidak
137;Informatics;Experienced in microservices architecture with Spring Cloud.;Software Engineering;ya
138;Finance;Skilled in financial reporting for multinational corporations.;Accounting;ya
139;Management;Organized volunteer programs for disaster relief efforts.;Human Capital;ya
140;Informatics;Proficient in blockchain-based identity management systems.;Software Engineering;ya
141;Finance;Experienced in payroll compliance for remote global teams.;Accounting;ya
142;Management;Skilled in public speaking and corporate training delivery.;Human Capital;ya
143;Informatics;Knowledge in NLP for chatbot development with Rasa.;Software Engineering;ya
144;Finance;Skilled in financial modeling for renewable energy projects.;Accounting;ya
145;Management;Passionate about urban gardening and sustainability.;Human Capital;tidak
146;Informatics;Experienced in real-time analytics with Apache Flink.;Software Engineering;ya
147;Finance;Background in audit sampling techniques and statistical analysis.;Accounting;ya
148;Management;Led team-building initiatives to enhance workplace collaboration.;Human Capital;ya
149;Informatics;Proficient in serverless computing with Google Cloud Functions.;Software Engineering;ya
150;Finance;Skilled in financial compliance for fintech startups.;Accounting;ya
151;Management;Experience in organizing charity fundraising events.;Human Capital;tidak
152;Informatics;Knowledge in GPU-accelerated computing with CUDA.;Software Engineering;ya
153;Finance;Experienced in cost-volume-profit (CVP) analysis for decision-making.;Accounting;ya
154;Management;Skilled in employee wellness program design and implementation.;Human Capital;ya
155;Informatics;Experienced in game scripting with UnrealScript and Blueprints.;Software Engineering;ya
156;Finance;Skilled in financial reporting for NGOs and non-profits.;Accounting;ya
157;Management;Passionate about podcasting and digital content creation.;Human Capital;tidak
158;Informatics;Proficient in API security with OAuth 2.0 and JWT.;Software Engineering;ya
159;Finance;Background in customs duties and import-export taxation.;Accounting;ya
160;Management;Led diversity and inclusion initiatives in corporate settings.;Human Capital;ya
161;Informatics;Knowledge in edge computing and distributed systems.;Software Engineering;ya
162;Finance;Skilled in financial planning for small businesses.;Accounting;ya
163;Management;Experience in youth mentorship and career guidance.;Human Capital;tidak
164;Informatics;Experienced in CI/CD pipelines for mobile app deployment.;Software Engineering;ya
165;Finance;Experienced in forensic accounting for legal cases.;Accounting;ya
166;Management;Skilled in performance appraisal systems and KPI design.;Human Capital;ya
167;Informatics;Proficient in low-level embedded programming with C and Assembly.;Software Engineering;ya
168;Finance;Skilled in financial statement analysis for investor relations.;Accounting;ya
169;Management;Passionate about wildlife conservation and ecology.;Human Capital;tidak
170;Informatics;Knowledge in quantum computing algorithms and Qiskit.;Software Engineering;ya
171;Finance;Experienced in tax incentives for green energy projects.;Accounting;ya
172;Management;Led cross-functional teams in product development projects.;Human Capital;ya
173;Informatics;Experienced in big data analytics with Apache Spark.;Software Engineering;ya
174;Finance;Skilled in financial risk assessment for banking institutions.;Accounting;ya
175;Management;Skilled in organizational behavior and change management.;Human Capital;ya
176;Informatics;Proficient in container orchestration with Kubernetes and Helm.;Software Engineering;ya
177;Finance;Background in credit risk modeling and scoring.;Accounting;ya
178;Management;Passionate about travel logistics and hospitality management.;Human Capital;tidak
179;Informatics;Knowledge in robotics process automation (RPA) with UiPath.;Software Engineering;ya
180;Finance;Experienced in financial compliance for healthcare institutions.;Accounting;ya
181;Management;Organized team-building activities for remote employees.;Human Capital;ya
182;Informatics;Experienced in full-stack development with React Native and Node.js.;Software Engineering;ya
183;Finance;Skilled in financial literacy programs for underserved communities.;Accounting;tidak
184;Management;Skilled in labor law compliance and employee rights advocacy.;Human Capital;ya
185;Informatics;Proficient in machine learning model deployment with MLflow.;Software Engineering;ya
186;Finance;Experienced in financial reporting for e-commerce businesses.;Accounting;ya
187;Management;Passionate about creative writing and literary arts.;Human Capital;tidak
188;Informatics;Knowledge in computer graphics and OpenGL programming.;Software Engineering;ya
189;Finance;Skilled in financial planning for family-owned enterprises.;Accounting;ya
190;Management;Led HR initiatives for employee engagement in Fortune 500 companies.;Human Capital;ya
191;Informatics;Experienced in network protocol development with Wireshark.;Software Engineering;ya
192;Finance;Background in financial derivatives trading and risk management.;Accounting;ya
193;Management;Skilled in crisis management and business continuity planning.;Human Capital;ya
194;Informatics;Proficient in real-time operating systems (RTOS) for embedded devices.;Software Engineering;ya
195;Finance;Skilled in financial reporting for startups and scale-ups.;Accounting;ya
196;Management;Passionate about digital marketing and SEO strategies.;Human Capital;tidak
197;Informatics;Knowledge in distributed ledger technology (DLT) beyond blockchain.;Software Engineering;ya
198;Finance;Experienced in financial compliance for pharmaceutical companies.;Accounting;ya
199;Management;Skilled in onboarding new employees and orientation programs.;Human Capital;ya
200;Informatics;Proficient in parallel computing with OpenMP and MPI.;Software Engineering;ya
